,PATRICKL,PATRICKL2,PATRICKL3,PATRICKL4,PATRICKMETA
Cumulative Return (in %),-8.730000000000004,2.6599999999999966,41.16,-6.099999999999994,0.6099999999999994
Last Week Return (in %),-1.02,1.69,6.32,1.5,-1.57
Avg Weekly Return (in %),-0.51,0.19,2.4,-0.75,0.17
VaR Weekly Return *,4.0,4.0,8.0,5.0,4.0
Sharpe Weekly Return **,-4.36,1.11,10.74,-2.52,0.14
