,Fund Performance in USD,S&P500 (Benchmark) Peformance in USD
Cumulative Return (in %),-13.12,10.94
Last Week Return (in %),-3.35,0.6
Average Weekly Return (in %),-0.56,0.56
VaR Weekly Return *,11.76,2.5
Sharpe Weekly Return **,-2.3,8.43
