,PATRICKL,PATRICKL2,PATRICKL3,PATRICKL4,PATRICKMETA,PATRICKL2_NMR_TARGET,PATRICKL3_NMR_TARGET
Cumulative Return (in %),-1.7900000000000063,-3.8499999999999943,28.69999999999999,-6.989999999999995,0.010000000000005116,4.549999999999997,6.640000000000001
Last Week Return (in %),0.74,1.15,-0.53,1.45,1.47,2.18,6.2
Avg Weekly Return (in %),0.01,-0.04,0.59,-0.45,0.07,2.25,2.21
VaR Weekly Return *,6.0,6.0,8.0,5.0,7.0,0.0,6.0
Sharpe Weekly Return **,-0.91,-1.67,6.64,-3.46,-0.27,50.44,1.91
