,Fund Performance in NMR,Fund Performance in USD *,S&P500 (Benchmark) Peformance in USD
Cumulative Return (in %),12.53,21.56,8.35
Last Round Return (in %),-0.0,0.0,4.03
Average Round Return (in %),0.42,0.72,0.28
VaR Round Return **,3.33,0.0,3.63
Sharpe Round Return ***,7.19,inf,4.29
