,PATRICKL,PATRICKL2,PATRICKL3,PATRICKL4,PATRICKMETA
Cumulative Return (in %),-8.370000000000005,-6.579999999999998,50.610000000000014,-6.989999999999995,-8.260000000000005
Last Week Return (in %),3.83,-3.15,3.11,1.45,-10.45
Avg Weekly Return (in %),-0.3,-0.24,1.74,-0.45,-0.85
VaR Weekly Return *,4.0,4.0,8.0,5.0,9.0
Sharpe Weekly Return **,-4.45,-3.4,11.81,-3.25,-1.92
