,Fund Performance in NMR,Fund Performance in USD *,S&P500 (Benchmark) Peformance in USD
Cumulative Return (in %),10.96,-28.1,10.1
Last Round Return (in %),1.65,-20.13,-2.66
Average Round Return (in %),0.2,-0.52,0.19
VaR Round Return **,4.35,66.12,3.57
Sharpe Round Return ***,4.57,-0.88,5.08
