Week,Total_Stake,Fund_NMR_Payout,Fund_Performance_Pct,Benchmark_Return,Cumulative_Fund_Return,Cumulative_Benchmark_Return,NMR_Price_Chg,Cumulative_Fund_Return_USD,Cumul_Quant_Return_Plot,Cumul_Benchmark_Return_Plot
12/05/2021,73.82,-1.0415,-1.41,3.2,106.54,114.76,-9.36,78.35,98.59,103.2
12/12/2021,74.63,0.6837,0.92,-2.19,107.52,112.25,-3.62,76.23,99.5,100.94
12/19/2021,72.3,1.1413,1.58,3.55,109.22,116.23,-4.86,73.73,101.07,104.52
12/26/2021,77.78,-1.7094,-2.2,0.61,106.82,116.94,-24.05,54.38,98.85,105.16
01/02/2022,51.27,-2.248,-4.38,-2.14,102.14,114.44,39.27,73.35,94.52,102.91
01/09/2022,76.63,0.43089999999999995,0.56,0.44,102.71,114.94,-0.21,73.61,95.05,103.36
01/16/2022,77.23,1.7207,2.23,-4.05,105.0,110.28,0.57,75.67,97.17,99.17
01/23/2022,83.0,-1.1438,-1.38,2.3,103.55,112.82,4.57,78.08,95.83,101.45
01/30/2022,81.39,-1.1639000000000002,-1.43,1.69,102.07,114.73,-3.06,74.57,94.46,103.16
02/06/2022,69.54,3.96,5.69,-2.01,107.88,112.42,-2.56,76.9,99.83,101.09
02/13/2022,79.47,-2.2281999999999997,-2.8,-1.29,104.86,110.97,6.26,79.56,97.03,99.79
02/20/2022,46.9,1.45,3.09,1.9,108.1,113.08,5.66,86.52,100.03,101.69
02/27/2022,59.879999999999995,0.5881000000000001,0.98,0.03,109.16,113.11,-8.08,80.38,101.01,101.72
03/06/2022,79.78,1.3134000000000003,1.65,-2.66,110.96,110.1,-12.2,71.9,102.68,99.01
