X_Label,Quant_Y_data,BM_Y_data
-20.0,6.518679805715452e-05,8.600613652629976e-05
-19.8,6.518679805715452e-05,8.600613652629976e-05
-19.6,6.518679805715452e-05,8.600613652629976e-05
-19.4,6.518679805715452e-05,8.600613652629976e-05
-19.2,6.518679805715452e-05,8.600613652629976e-05
-19.0,6.518679805715452e-05,8.600613652629976e-05
-18.8,6.518679805715452e-05,8.600613652629976e-05
-18.6,6.518679805715452e-05,8.600613652629976e-05
-18.4,6.518679805715452e-05,8.600613652629976e-05
-18.2,6.518679805715452e-05,8.600613652629976e-05
-18.0,6.518679805715452e-05,8.600613652629976e-05
-17.8,6.518679805715452e-05,8.600613652629976e-05
-17.6,6.518679805715452e-05,8.600613652629976e-05
-17.4,6.518679805715452e-05,8.600613652629976e-05
-17.2,6.518679805715452e-05,8.600613652629976e-05
-17.0,6.518679805715452e-05,8.600613652629976e-05
-16.8,6.518679805715452e-05,8.600613652629976e-05
-16.6,6.518679805715452e-05,8.600613652629976e-05
-16.4,6.518679805715452e-05,8.600613652629976e-05
-16.2,6.518679805715452e-05,8.600613652629976e-05
-16.0,6.518679805715452e-05,8.600613652629976e-05
-15.8,6.518679805715452e-05,8.600613652629976e-05
-15.6,6.518679805715452e-05,8.600613652629976e-05
-15.4,6.518679805715452e-05,0.00010556591170785855
-15.2,6.518679805715452e-05,0.00014472039950104733
-15.0,6.518679805715452e-05,0.00019786521347505906
-14.8,6.518679805715452e-05,0.0002667428024754191
-14.6,6.518679805715452e-05,0.00035500486928755575
-14.4,6.518679805715452e-05,0.00047030004562909744
-14.2,6.518679805715452e-05,0.0006172007208816544
-14.0,6.518679805715452e-05,0.0007999383943198885
-13.8,6.518679805715452e-05,0.001025636732168353
-13.6,6.518679805715452e-05,0.0013097605129151623
-13.4,6.518679805715452e-05,0.001652599980661323
-13.2,6.518679805715452e-05,0.0020619268547877228
-13.0,6.518679805715452e-05,0.002553295843103014
-12.8,6.518679805715452e-05,0.0031356783983356134
-12.6,6.518679805715452e-05,0.0038096547465397376
-12.4,6.518679805715452e-05,0.004581629901126528
-12.2,6.518679805715452e-05,0.005475112809030768
-12.0,6.518679805715452e-05,0.006477548318828349
-11.8,6.518679805715452e-05,0.00758931845754342
-11.6,6.518679805715452e-05,0.008816744959270255
-11.4,6.518679805715452e-05,0.010160372489204676
-11.2,6.518679805715452e-05,0.01160139245369653
-11.0,6.518679805715452e-05,0.013130568652491412
-10.8,6.518679805715452e-05,0.014744941578154784
-10.6,6.518679805715452e-05,0.016419112457748124
-10.4,6.518679805715452e-05,0.01813326121576343
-10.2,6.518679805715452e-05,0.019868542564186385
-10.0,6.518679805715452e-05,0.021601043151355817
-9.8,6.518679805715452e-05,0.023307962971870322
-9.6,6.518679805715452e-05,0.024969011644010306
-9.4,6.518679805715452e-05,0.026554958205109003
-9.2,6.518679805715452e-05,0.028048762445382458
-9.0,6.518679805715452e-05,0.02944008301041724
-8.8,6.518679805715452e-05,0.030715330529815055
