,PATRICKL,PATRICKL2,PATRICKL3,PATRICKL4,PATRICKMETA,PATRICKL2_NMR_TARGET,PATRICKL3_NMR_TARGET
Cumulative Return (in %),2.75,-2.0999999999999943,28.919999999999987,-6.989999999999995,2.8700000000000045,-2.25,3.489999999999995
Last Week Return (in %),2.76,2.74,1.95,1.45,1.16,-2.57,0.09
Avg Weekly Return (in %),0.1,0.0,0.58,-0.45,0.2,-0.53,0.73
VaR Weekly Return *,6.0,6.0,8.0,5.0,7.0,6.0,6.0
Sharpe Weekly Return **,0.55,-1.1,6.79,-3.48,0.51,-1.17,0.79
