,Fund Performance in USD,S&P500 (Benchmark) Peformance in USD
Cumulative Return (in %),-4.92,13.25
Last Week Return (in %),5.81,-0.18
Average Weekly Return (in %),-0.05,0.58
VaR Weekly Return *,11.98,2.69
Sharpe Weekly Return **,-0.88,9.6
