,Fund Performance in NMR,Fund Performance in USD *,S&P500 (Benchmark) Peformance in USD
Cumulative Return (in %),12.98,-26.53,-6.78
Last Round Return (in %),-1.25,-16.11,-1.23
Average Round Return (in %),0.22,-0.46,0.29
VaR Round Return **,4.25,66.59,3.77
Sharpe Round Return ***,5.58,-0.83,-4.19
