,PATRICKL,PATRICKL2,PATRICKL3,PATRICKL4,PATRICKMETA,PATRICKL2_NMR_TARGET,PATRICKL3_NMR_TARGET
Cumulative Return (in %),-2.510000000000005,-4.939999999999998,29.389999999999986,-6.989999999999995,-1.4399999999999977,2.319999999999993,0.4099999999999966
Last Week Return (in %),1.13,2.51,1.88,1.45,0.66,2.32,1.24
Avg Weekly Return (in %),-0.0,-0.06,0.62,-0.45,-0.01,2.32,0.21
VaR Weekly Return *,6.0,6.0,8.0,5.0,8.0,0.0,2.0
Sharpe Weekly Return **,-1.14,-2.03,6.74,-3.46,-0.65,inf,-0.59
