,Fund Performance in NMR,Fund Performance in USD *,S&P500 (Benchmark) Peformance in USD
Cumulative Return (in %),16.52,11.81,13.25
Last Week Return (in %),1.4,12.43,-0.18
Average Weekly Return (in %),0.71,6.21,0.58
VaR Weekly Return **,3.01,42.85,2.69
Sharpe Weekly Return ***,10.74,0.54,9.61
