,PATRICKL,PATRICKL2,PATRICKL3,PATRICKL4,PATRICKMETA
Cumulative Return (in %),-10.870000000000005,-9.680000000000007,60.620000000000005,-6.989999999999995,-8.260000000000005
Last Week Return (in %),-0.98,-0.65,4.76,1.45,-10.45
Avg Weekly Return (in %),-0.35,-0.32,1.73,-0.45,-0.85
VaR Weekly Return *,4.0,4.0,8.0,5.0,9.0
Sharpe Weekly Return **,-5.45,-5.08,14.93,-3.28,-1.93
