,PATRICKL,PATRICKL2,PATRICKL3,PATRICKL4,PATRICKMETA,PATRICKL2_NMR_TARGET,PATRICKL3_NMR_TARGET
Cumulative Return (in %),-0.480000000000004,-6.900000000000006,32.31,-6.989999999999995,4.409999999999997,-1.0400000000000063,3.9200000000000017
Last Week Return (in %),-3.14,-4.9,2.63,1.45,1.5,1.24,0.42
Avg Weekly Return (in %),0.04,-0.09,0.61,-0.45,0.26,-0.17,0.68
VaR Weekly Return *,6.0,6.0,8.0,5.0,7.0,5.0,6.0
Sharpe Weekly Return **,-0.52,-2.73,7.65,-3.5,0.95,-0.82,1.0
