Week,Total_Stake,Fund_NMR_Payout,Fund_Performance_Pct,Benchmark_Return,Cumulative_Fund_Return,Cumulative_Benchmark_Return,NMR_Price_Chg,Cumulative_Fund_Return_USD,Cumul_Quant_Return_Plot,Cumul_Benchmark_Return_Plot
06/27/2021,30.05,0.7196,2.39,1.53,113.29,110.28,-6.91,95.15,102.39,101.53
07/04/2021,0.0,0.0,0.0,0.6,113.29,110.94,-8.13,87.41,102.39,102.14
07/11/2021,30.54,-0.36329999999999996,-1.19,-0.94,111.94,109.9,-1.92,84.69,101.17,101.18
07/18/2021,38.18000000000001,1.0131,2.65,3.23,114.91,113.45,17.07,101.39,103.85,104.45
07/25/2021,33.33,0.4665,1.4,-0.18,116.52,113.25,8.88,111.81,105.3,104.26
08/01/2021,39.660000000000004,-1.0912,-2.75,0.49,113.32,113.8,5.82,115.24,102.4,104.77
08/08/2021,38.57,0.09989999999999993,0.26,0.78,113.61,114.69,-3.37,111.66,102.67,105.59
08/15/2021,32.64,-0.9184,-2.81,-0.26,110.42,114.39,11.01,120.82,99.78,105.32
08/22/2021,37.739999999999995,-0.46640000000000004,-1.24,1.14,109.05,115.69,4.63,124.92,98.54,106.52
08/29/2021,37.17,0.9803000000000001,2.64,-3.66,111.93,111.46,-11.79,113.49,101.14,102.62
09/05/2021,37.17,-0.3366,-0.91,-3.67,110.91,107.37,12.32,126.44,100.22,98.85
09/12/2021,37.17,0.5426,1.46,-3.0,112.53,104.15,-3.79,123.49,101.68,95.88
09/19/2021,37.17,-0.0003999999999999837,-0.0,4.03,112.53,108.35,-1.56,121.56,101.68,99.74
