Week,Total_Stake,Fund_NMR_Payout,Fund_Performance_Pct,Benchmark_Return,Cumulative_Fund_Return,Cumulative_Benchmark_Return,NMR_Price_Chg,Cumulative_Fund_Return_USD,Cumul_Quant_Return_Plot,Cumul_Benchmark_Return_Plot
07/11/2021,30.54,-0.36329999999999996,-1.19,-0.94,111.94,109.9,-1.92,84.69,98.81,99.06
07/18/2021,38.18000000000001,1.0131,2.65,3.23,114.91,113.45,17.07,101.39,101.43,102.26
07/25/2021,33.33,0.4665,1.4,-0.18,116.52,113.25,8.88,111.81,102.85,102.08
08/01/2021,39.660000000000004,-1.0912,-2.75,0.49,113.32,113.8,5.82,115.24,100.02,102.58
08/08/2021,38.57,0.09989999999999993,0.26,0.78,113.61,114.69,-3.37,111.66,100.28,103.38
08/15/2021,32.64,-0.9184,-2.81,-0.26,110.42,114.39,11.01,120.82,97.46,103.11
08/22/2021,37.739999999999995,-0.46640000000000004,-1.24,1.14,109.05,115.69,4.63,124.92,96.25,104.29
08/29/2021,37.17,0.9803000000000001,2.64,-3.66,111.93,111.46,-11.79,113.49,98.79,100.47
09/05/2021,37.17,-0.3366,-0.91,-1.33,110.91,109.98,12.32,126.44,97.89,99.13
09/12/2021,37.17,0.5426,1.46,-1.61,112.53,108.21,-3.79,123.49,99.32,97.53
09/19/2021,37.17,-0.0003999999999999837,-0.0,2.08,112.53,110.46,-1.56,121.56,99.32,99.56
09/26/2021,44.14,-0.3242999999999999,-0.73,-1.94,111.71,108.32,0.18,120.89,98.59,97.63
10/03/2021,74.81,0.131,0.18,1.12,111.91,109.53,0.39,121.58,98.77,98.72
10/10/2021,75.36,1.0175999999999998,1.35,1.99,113.42,111.71,1.56,125.12,100.1,100.68
