Date,E0,E1,Deposit,Withdraw,Weekly_Change,Weekly_PctChg,BM_Pctchg,Cumulative_Fund_Return,Cumulative_Benchmark_Return,Cumul_Retail_Return_Plot,Cumul_Benchmark_Return_Plot
07/18/21,,39583.0,,,3340.0,8.44,3.23,89.86,113.45,108.44,103.23
07/25/21,,42923.0,,,2492.0,5.81,-0.18,95.08,113.25,114.74,103.04
08/01/21,,45415.0,,,2516.0,5.54,0.49,100.35,113.8,121.1,103.54
08/08/21,,47931.0,,,1648.0,3.44,0.78,103.8,114.69,125.27,104.35
08/15/21,,49579.0,,,550.0,1.11,-0.26,104.95,114.39,126.66,104.08
08/22/21,,50129.0,,,12.0,0.02,1.14,104.97,115.69,126.69,105.27
08/29/21,,50141.0,,,2459.0,4.9,0.47,110.11,116.23,132.9,105.76
09/05/21,,52600.0,,,-850.0,-1.62,-1.33,108.33,114.68,130.75,104.35
09/12/21,,51750.0,,,-515.0,-1.0,-1.61,107.25,112.83,129.44,102.67
09/19/21,,51235.0,,,-1085.0,-2.12,2.08,104.98,115.18,126.7,104.81
09/26/21,,50150.0,,,2850.0,5.68,-1.94,110.94,112.95,133.9,102.78
10/03/21,,53000.0,,,2907.0,5.48,1.12,117.02,114.22,141.24,103.93
