,Fund Performance in NMR,Fund Performance in USD *,S&P500 (Benchmark) Peformance in USD
Cumulative Return (in %),13.42,25.12,11.71
Last Round Return (in %),1.35,2.11,1.99
Average Round Return (in %),0.41,0.76,0.35
VaR Round Return **,3.21,61.84,3.04
Sharpe Round Return ***,7.98,0.79,7.31
