,PATRICKL,PATRICKL2,PATRICKL3,PATRICKL4,PATRICKMETA
Cumulative Return (in %),-7.290000000000006,-6.189999999999998,48.610000000000014,-6.989999999999995,-8.260000000000005
Last Week Return (in %),1.18,0.42,-1.33,1.45,-10.45
Avg Weekly Return (in %),-0.25,-0.21,1.62,-0.45,-0.85
VaR Weekly Return *,4.0,4.0,8.0,5.0,9.0
Sharpe Weekly Return **,-3.95,-3.28,11.44,-3.27,-1.92
