,Fund Performance in USD,S&P500 (Benchmark) Peformance in USD
Cumulative Return (in %),30.51,18.89
Last Week Return (in %),3.23,2.06
Average Weekly Return (in %),0.93,0.52
VaR Weekly Return *,10.7,2.7
Sharpe Weekly Return **,5.6,13.55
