X_Label,Quant_Y_data,BM_Y_data
-20.0,0.0004176827604352955,8.580248984643543e-05
-19.8,0.0004943345242423581,8.580248984643543e-05
-19.6,0.0005818951895955174,8.580248984643543e-05
-19.4,0.0006813401879789484,8.580248984643543e-05
-19.2,0.0007936420328889678,8.580248984643543e-05
-19.0,0.0009218665806014655,8.580248984643543e-05
-18.8,0.0010653713350716402,8.580248984643543e-05
-18.6,0.001224718356361551,8.580248984643543e-05
-18.4,0.0014006195219452594,8.580248984643543e-05
-18.2,0.001593674512392532,8.580248984643543e-05
-18.0,0.0018043527850842417,8.580248984643543e-05
-17.8,0.0020329766850701696,8.580248984643543e-05
-17.6,0.0022797060841169645,8.580248984643543e-05
-17.4,0.0025460945344790557,8.580248984643543e-05
-17.2,0.0028314523328054463,8.580248984643543e-05
-17.0,0.0031339931446866423,8.580248984643543e-05
-16.8,0.0034529943724978486,8.580248984643543e-05
-16.6,0.0037875507372856004,8.580248984643543e-05
-16.4,0.004136587533498836,8.580248984643543e-05
-16.2,0.004498878364871803,8.580248984643543e-05
-16.0,0.004873067262524585,8.580248984643543e-05
-15.8,0.005258006421806267,8.580248984643543e-05
-15.6,0.005652533738233014,8.580248984643543e-05
-15.4,0.006053835272697758,8.580248984643543e-05
-15.2,0.006460405074379145,8.580248984643543e-05
-15.0,0.006870824388239044,8.580248984643543e-05
-14.8,0.007283800825820638,8.580248984643543e-05
-14.6,0.007698205775127316,8.580248984643543e-05
-14.4,0.008113109294864317,8.580248984643543e-05
-14.2,0.008527811745312537,8.580248984643543e-05
-14.0,0.008941773994715636,8.580248984643543e-05
-13.8,0.009355041271052219,8.580248984643543e-05
-13.6,0.009767965790922113,8.580248984643543e-05
-13.4,0.010181185886489811,8.580248984643543e-05
-13.2,0.01059562549309694,8.580248984643543e-05
-13.0,0.011012477039516102,8.580248984643543e-05
-12.8,0.011433178275556503,8.580248984643543e-05
-12.6,0.011859383479323282,8.580248984643543e-05
-12.4,0.012293826661694134,8.580248984643543e-05
-12.2,0.012738881220088384,8.580248984643543e-05
-12.0,0.013196132899893104,8.580248984643543e-05
-11.8,0.013667686342988497,8.580248984643543e-05
-11.6,0.014155612517054394,8.580248984643543e-05
-11.4,0.014661911051124372,8.580248984643543e-05
-11.2,0.015188476545528294,8.580248984643543e-05
-11.0,0.015737069554304185,8.580248984643543e-05
-10.8,0.016310260246108915,8.580248984643543e-05
-10.6,0.016911809972956188,8.580248984643543e-05
-10.4,0.01753999658425524,8.580248984643543e-05
-10.2,0.018195758086040778,8.580248984643543e-05
-10.0,0.01887986817422184,8.580248984643543e-05
-9.8,0.019592954144470792,8.580248984643543e-05
-9.6,0.020335518046848515,8.580248984643543e-05
-9.4,0.021107960127112274,8.580248984643543e-05
-9.2,0.02191060356111552,8.580248984643543e-05
-9.0,0.02274815837042643,8.580248984643543e-05
-8.8,0.023616942340374314,8.580248984643543e-05
-8.6,0.02451677299352907,8.580248984643543e-05
-8.4,0.025447897942695946,8.580248984643543e-05
-8.2,0.02641056716752048,8.580248984643543e-05
-8.0,0.027405020883920418,8.580248984643543e-05
-7.8,0.028431469587942966,8.580248984643543e-05
-7.6,0.029490066311537878,8.580248984643543e-05
-7.4,0.030583816722207315,8.580248984643543e-05
-7.2,0.03171167915516192,8.580248984643543e-05
-7.0,0.03287106756735759,8.580248984643543e-05
-6.8,0.03406120989782864,8.580248984643543e-05
-6.6,0.035280969323284284,8.580248984643543e-05
-6.4,0.03652879163607787,0.0001178097122826953
-6.2,0.03780265745676127,0.0002334494501982028
-6.0,0.03910004077873946,0.00043859003109239573
-5.8,0.040418505462771925,0.0007754968747245988
-5.6,0.04175459512689967,0.001294832334995847
-5.4,0.043101328400142906,0.002054731346322641
-5.2,0.04445357690653823,0.0031081604871637104
-5.0,0.045805713374858156,0.004498061135718524
-4.8,0.04715166446699962,0.006279066230019458
-4.6,0.048484975002085075,0.008550395453082891
-4.4,0.04979888251692997,0.011463915250904335
-4.2,0.051086401011756585,0.015254011399824548
-4.0,0.05233411793820316,0.02024156680418463
-3.8,0.053538165693834475,0.02683859790809661
-3.6,0.054692072226065015,0.035306352973689975
-3.4,0.05578922590520521,0.04572609200066847
-3.2,0.05682338454189893,0.05789868661623385
-3.0,0.05778875641786566,0.07130566732187604
-2.8,0.05868007255233032,0.08505797332590288
-2.6,0.059492649233786964,0.0982222331689114
-2.4,0.06021429436246487,0.10993351416712699
-2.2,0.06084354381083004,0.1195442394601771
-2.0,0.061383560818270226,0.12692728555629426
-1.8,0.06183288331547555,0.13230807755797222
-1.6,0.06219074490310908,0.13622897582825552
-1.4,0.06245705338411383,0.13948027175914102
-1.2,0.06263236253418666,0.14289069594028642
-1.0,0.06271783806619423,0.1471267758311546
-0.8,0.06271166521399096,0.15261541867847878
-0.6,0.06261047361169952,0.15937255393402897
-0.4,0.06242752573022055,0.16698517097224042
-0.2,0.06216623879514027,0.1747515057664433
-0.0,0.061830364216634084,0.18177563603771535
0.2,0.06142394101326411,0.18723434830883504
0.4,0.06095124972539103,0.19060330277095577
0.6,0.06041676679291004,0.1916885694477697
0.8,0.05982511934752354,0.19054322207339836
1.0,0.05917426089966738,0.1875090084181017
1.2,0.058477016876261965,0.18283291739708454
1.4,0.05773867481653358,0.1765819223570615
1.6,0.05696390770109847,0.1685759356012307
1.8,0.05615726295526779,0.1586691785342576
2.0,0.05532311990079512,0.14677383997858984
2.2,0.05446564886796704,0.1330462599428863
2.4,0.053588772480983426,0.11796747448525277
2.6,0.05269501945013642,0.10232153879802931
