,Fund Performance in NMR,Fund Performance in USD *,S&P500 (Benchmark) Peformance in USD
Cumulative Return (in %),11.93,13.49,11.46
Last Week Return (in %),2.64,-31.13,-3.66
Average Weekly Return (in %),0.44,0.5,0.41
VaR Weekly Return **,3.44,0.0,2.93
Sharpe Weekly Return ***,6.67,inf,7.51
