X_Label,Quant_Y_data,BM_Y_data,Optimal_Y_data
-20.0,7.182066319302876e-05,0.0008481872148095417,7.313618528254702e-05
-19.8,7.182066319302876e-05,0.00095697110676245,7.313618528254702e-05
-19.6,7.182066319302876e-05,0.0010751349011850929,7.313618528254702e-05
-19.4,7.182066319302876e-05,0.0012037668575110624,7.313618528254702e-05
-19.2,7.182066319302876e-05,0.0013444919101653428,7.313618528254702e-05
-19.0,7.182066319302876e-05,0.0014954739579577775,7.313618528254702e-05
-18.8,7.182066319302876e-05,0.0016568207987671798,7.313618528254702e-05
-18.6,7.182066319302876e-05,0.001828593873908643,7.313618528254702e-05
-18.4,7.182066319302876e-05,0.0020108072391716186,7.313618528254702e-05
-18.2,7.182066319302876e-05,0.0022055897842096902,7.313618528254702e-05
-18.0,7.182066319302876e-05,0.002411252963471433,7.313618528254702e-05
-17.8,7.182066319302876e-05,0.0026268286623001517,7.313618528254702e-05
-17.6,7.182066319302876e-05,0.002852032111741608,7.313618528254702e-05
-17.4,7.182066319302876e-05,0.003086530749497856,7.313618528254702e-05
-17.2,7.182066319302876e-05,0.003330469370966072,7.313618528254702e-05
-17.0,7.182066319302876e-05,0.003584459933826892,7.313618528254702e-05
-16.8,7.182066319302876e-05,0.0038460172072390933,7.313618528254702e-05
-16.6,7.182066319302876e-05,0.00411458313398368,7.313618528254702e-05
-16.4,7.182066319302876e-05,0.004389578690448284,7.313618528254702e-05
-16.2,7.182066319302876e-05,0.00467040725180929,7.313618528254702e-05
-16.0,7.182066319302876e-05,0.0049572905681824885,7.313618528254702e-05
-15.8,7.182066319302876e-05,0.005248742200891278,7.313618528254702e-05
-15.6,7.182066319302876e-05,0.0055437510982613136,7.313618528254702e-05
-15.4,7.182066319302876e-05,0.005841770353339996,7.313618528254702e-05
-15.2,7.182066319302876e-05,0.00614228940025809,7.313618528254702e-05
-15.0,7.182066319302876e-05,0.0064449114514707855,7.313618528254702e-05
-14.8,7.182066319302876e-05,0.0067493744918135585,7.313618528254702e-05
-14.6,7.182066319302876e-05,0.007054994436981654,7.313618528254702e-05
-14.4,7.182066319302876e-05,0.0073616488523952925,7.313618528254702e-05
-14.2,7.182066319302876e-05,0.007669308944111332,7.313618528254702e-05
