,Fund Performance in NMR,Fund Performance in USD *,S&P500 (Benchmark) Peformance in USD
Cumulative Return (in %),14.41,-25.91,21.52
Last Round Return (in %),2.24,1.77,0.19
Average Round Return (in %),0.25,-0.45,0.32
VaR Round Return **,4.27,66.26,3.78
Sharpe Round Return ***,6.25,-0.81,10.82
