,Fund Performance in NMR,Fund Performance in USD *,S&P500 (Benchmark) Peformance in USD
Cumulative Return (in %),12.0,-27.45,31.55
Last Round Return (in %),0.94,-3.99,5.61
Average Round Return (in %),0.22,-0.5,0.29
VaR Round Return **,4.32,66.12,3.83
Sharpe Round Return ***,5.09,-0.86,15.96
