,Fund Performance in USD,S&P500 (Benchmark) Peformance in USD
Cumulative Return (in %),-28.02,7.97
Last Week Return (in %),-3.13,-0.19
Average Weekly Return (in %),-0.24,0.13
VaR Weekly Return *,13.2,4.27
Sharpe Weekly Return **,-4.28,3.61
