,Fund Performance in NMR,Fund Performance in USD *,S&P500 (Benchmark) Peformance in USD
Cumulative Return (in %),13.53,-27.46,-47.42
Last Round Return (in %),1.21,83.72,-2.52
Average Round Return (in %),0.16,-0.33,0.01
VaR Round Return **,3.84,81.32,4.68
Sharpe Round Return ***,6.99,-0.68,-20.29
